district,men_mobile_own,men_mobile_financial,men_mobile_own2,men_mobile_financial2,n_obs_men,women_mobile_own,n_obs_women,digital_gap_ownership
samastipur,0.88316971,0.054393608,0.88316971,0.054393608,407.5274889,0.70124751,377.4173697,0.1819222
faridabad,0.90210712,0.52750981,0.90210712,0.52750981,76.82444182,0.72018987,301.5172675,0.18191725
thrissur,0.94171572,0.37507784,0.94171572,0.37507784,250.3729107,0.75989842,329.2495459,0.18181729
udalguri,0.86984712,0.079281762,0.86984712,0.079281762,101.9083713,0.68887067,72.98092103,0.18097645
mahasamund,0.90130472,0.1881139,0.90130472,0.1881139,45.89455855,0.72057784,131.1088032,0.18072689
bid,0.96012396,0.15930803,0.96012396,0.15930803,311.9212328,0.78015637,200.3660514,0.17996758
the dangs,0.81615788,0.16301572,0.81615788,0.16301572,25.40717206,0.63667279,34.43215208,0.17948508
lunglei,0.91225809,0.13584456,0.91225809,0.13584456,16.57572832,0.73337483,11.85187904,0.17888325
madhubani,0.86111557,0.15895227,0.86111557,0.15895227,318.0637,0.68268114,403.801356,0.17843443
panchkula,0.92510784,0.44141334,0.92510784,0.44141334,21.66597486,0.74723458,40.98220588,0.17787325
nainital,0.885333,0.25147957,0.885333,0.25147957,38.91467206,0.70766741,71.01319703,0.17766559
karimganj,0.93372196,0.21315031,0.93372196,0.21315031,174.2405788,0.75666112,112.6554935,0.17706084
palakkad,0.93977851,0.31368807,0.93977851,0.31368807,302.4043365,0.76296937,459.7098938,0.17680913
hisar,0.93079299,0.36962718,0.93079299,0.36962718,82.50527322,0.75438231,176.3000892,0.17641068
kasaragod,0.93748444,0.35439101,0.93748444,0.35439101,131.3458492,0.76219159,170.1938042,0.17529285
chikmagalur,0.91620749,0.34789553,0.91620749,0.34789553,149.1336134,0.741162,110.4324546,0.17504549
salem,0.96384108,0.31167457,0.96384108,0.31167457,120.030498,0.78906512,567.8427927,0.17477596
pulwama,0.95691764,0.48206112,0.95691764,0.48206112,51.12064646,0.78252685,69.8553321,0.17439079
champhai,0.90350336,0.14453347,0.90350336,0.14453347,14.37927601,0.72954935,9.219275944,0.17395401
rohtak,0.89705944,0.45363051,0.89705944,0.45363051,44.64936566,0.72319812,95.35111645,0.17386132
bidar,0.9624669,0.40962377,0.9624669,0.40962377,232.9614535,0.78883082,174.2650653,0.17363608
kachchh,0.94178152,0.27196124,0.94178152,0.27196124,287.1689452,0.76814985,292.2773153,0.17363167
anugul,0.88833201,0.2731356,0.88833201,0.2731356,50.52178486,0.71507949,135.9658508,0.17325252
kollam,1,0.2996006,1,0.2996006,246.2616849,0.82770318,373.4555449,0.17229682
baksa,0.85795587,0.2812922,0.85795587,0.2812922,125.6199275,0.68572485,85.61790133,0.17223102
shimla,0.97687757,0.41192025,0.97687757,0.41192025,100.5206747,0.80587184,119.0603838,0.17100573
uttarkashi,0.89310545,0.3191438,0.89310545,0.3191438,12.19238813,0.7227816,31.84604649,0.17032385
raichur,0.93027586,0.29352424,0.93027586,0.29352424,281.1539215,0.76046038,158.2195024,0.16981548
yavatmal,0.90099007,0.22971837,0.90099007,0.22971837,428.8681667,0.73208779,292.2019017,0.16890228
kargil,0.98051363,0.43374041,0.98051363,0.43374041,12.112613,0.81188744,17.84005099,0.16862619
serchhip,0.92304778,0.13422929,0.92304778,0.13422929,7.099777032,0.75456357,3.731416038,0.16848421
bhadrak,0.8491959,0.14953429,0.8491959,0.14953429,47.17554238,0.68218118,132.4468741,0.16701472
ludhiana,0.94103581,0.32104617,0.94103581,0.32104617,163.0859838,0.77483761,281.6774461,0.16619819
bijapur,0.93305057,0.37615779,0.93305057,0.37615779,242.7093463,0.76735145,179.9477196,0.16569912
solan,0.98363072,0.36392418,0.98363072,0.36392418,91.01677856,0.81801909,113.7935011,0.16561162
panna,0.80732566,0.14581192,0.80732566,0.14581192,41.71636024,0.64219284,84.53680742,0.16513282
dharwad,0.90784472,0.49604487,0.90784472,0.49604487,295.1331699,0.74287444,181.0375959,0.16497028
jalgaon,0.90740281,0.18332416,0.90740281,0.18332416,550.1185176,0.74256152,316.176443,0.16484129
imphal east,0.93566799,0.11722352,0.93566799,0.11722352,68.76290576,0.77132612,38.02055223,0.16434187
cuddalore,0.91888499,0.3136965,0.91888499,0.3136965,84.97592002,0.75460225,379.7864095,0.16428274
bahraich,0.83677328,0.069482036,0.83677328,0.069482036,102.0631777,0.67282486,258.9111807,0.16394842
khordha,0.92062873,0.45443785,0.92062873,0.45443785,87.77590448,0.75716144,230.4971682,0.16346729
gorakhpur,0.92413247,0.25587332,0.92413247,0.25587332,151.2542502,0.76069021,378.5084716,0.16344225
dimapur,0.9796887,0.35230967,0.9796887,0.35230967,40.95515734,0.8170886,33.07203598,0.1626001
jaisalmer,0.91554654,0.30741289,0.91554654,0.30741289,30.51728628,0.75321448,50.7441628,0.16233206
pathanamthitta,1,0.16993146,1,0.16993146,122.475825,0.83770281,134.5970784,0.16229719
thoubal,0.88516527,0.2387895,0.88516527,0.2387895,53.51372787,0.72287816,34.29037602,0.16228712
morigaon,0.84342659,0.31579682,0.84342659,0.31579682,109.6784029,0.68132651,86.46134672,0.16210008
sant kabir nagar,0.93682146,0.093693227,0.93682146,0.093693227,43.06199464,0.77475882,151.5369627,0.16206264
sheohar,0.89369357,0.083152309,0.89369357,0.083152309,65.80904919,0.73211622,70.23573986,0.16157734
visakhapatnam,0.90807635,0.36601728,0.90807635,0.36601728,537.733753,0.74653888,381.2097747,0.16153747
pune,0.97752362,0.52244204,0.97752362,0.52244204,1885.658255,0.81688702,1071.01415,0.1606366
wayanad,0.88796872,0.4594838,0.88796872,0.4594838,95.52234751,0.72780061,115.4496099,0.16016811
north  & middle andaman,0.93122423,0.19453196,0.93122423,0.19453196,13.85136403,0.7711277,10.74750495,0.16009653
churu,0.86747396,0.22931033,0.86747396,0.22931033,102.1862369,0.70861268,159.6787581,0.15886128
dausa,0.88195175,0.28595883,0.88195175,0.28595883,64.67084783,0.72380596,135.2008079,0.15814579
viluppuram,0.92889124,0.31018901,0.92889124,0.31018901,108.6384438,0.77091628,485.1369866,0.15797496
narayanpur,0.55713916,0.17502616,0.55713916,0.17502616,5.486569932,0.3993822,17.06590595,0.15775695
alirajpur,0.82330692,0.13328543,0.82330692,0.13328543,21.8867451,0.66566527,77.46490091,0.15764165
shivpuri,0.91058278,0.24008356,0.91058278,0.24008356,70.09749609,0.75305259,169.828857,0.15753019
bara banki,0.82642341,0.095004931,0.82642341,0.095004931,128.4283074,0.66951412,256.8412932,0.15690929
rajsamand,0.94731534,0.34474564,0.94731534,0.34474564,51.53407314,0.79083079,103.9782457,0.15648454
mokokchung,1,0.18109044,1,0.18109044,14.24752806,0.84396285,8.742815025,0.15603715
ballia,0.90029001,0.24382722,0.90029001,0.24382722,100.4349248,0.7444976,272.2088503,0.15579242
korba,0.86851144,0.20874161,0.86851144,0.20874161,56.15817316,0.71351582,122.6337317,0.15499562
yanam,0.92999732,0.63102192,0.92999732,0.63102192,2.536830998,0.77507657,6.985621912,0.15492076
jajapur,0.84259146,0.2474743,0.84259146,0.2474743,77.68872282,0.68844974,176.2325104,0.15414172
banas kantha,0.8811996,0.15163301,0.8811996,0.15163301,306.6250252,0.72801161,435.0442557,0.15318799
kozhikode,0.98126048,0.50115478,0.98126048,0.50115478,393.4275305,0.83043337,372.6344111,0.15082711
sidhi,0.7878558,0.16786394,0.7878558,0.16786394,39.30738594,0.6371839,112.9654373,0.1506719
south twenty four parganas,0.90695596,0.085639141,0.90695596,0.085639141,1135.733655,0.75666457,725.0216751,0.15029138
baramula,0.94171333,0.30420232,0.94171333,0.30420232,135.4725585,0.79159576,161.5307655,0.15011758
dewas,0.92460626,0.23478648,0.92460626,0.23478648,70.37503847,0.77479649,147.0978269,0.14980978
jamui,0.92677391,0.078886509,0.92677391,0.078886509,144.7944713,0.77741623,145.8761225,0.14935768
hazaribagh,0.84214664,0.070222713,0.84214664,0.070222713,45.1975027,0.69300961,176.841598,0.14913702
dhar,0.84969932,0.35132462,0.84969932,0.35132462,69.86939913,0.7033869,249.3814902,0.14631242
baleshwar,0.84469551,0.23923811,0.84469551,0.23923811,72.00458616,0.69861555,230.3462832,0.14607996
jhalawar,0.89580417,0.2466512,0.89580417,0.2466512,60.88654414,0.75005978,115.9327167,0.14574438
mysore,0.90425187,0.41215041,0.90425187,0.41215041,458.1531055,0.75893837,309.6061732,0.1453135
tinsukia,0.79378814,0.18564267,0.79378814,0.18564267,174.8244339,0.6486392,137.6507505,0.14514893
chandauli,0.84323263,0.2083554,0.84323263,0.2083554,85.25969341,0.6985504,183.8546534,0.14468223
south district,0.95675814,0.27394658,0.95675814,0.27394658,14.13747893,0.81256771,4.868853875,0.14419043
jodhpur,0.90783101,0.37162894,0.90783101,0.37162894,190.5315843,0.76383394,304.1432962,0.14399707
hanumangarh,0.95347583,0.22523497,0.95347583,0.22523497,92.83177775,0.80976462,163.9752635,0.14371121
wokha,0.99300951,0.33606035,0.99300951,0.33606035,9.636576913,0.84933662,5.761665961,0.14367288
bharatpur,0.88766158,0.18803634,0.88766158,0.18803634,84.84058443,0.74399215,212.220107,0.14366943
katihar,0.85781765,0.051139809,0.85781765,0.051139809,280.7841847,0.7144351,250.3318821,0.14338255
solapur,0.94037962,0.19028401,0.94037962,0.19028401,579.810446,0.79725248,381.2365612,0.14312714
bhagalpur,0.92592239,0.12608582,0.92592239,0.12608582,518.6582218,0.78312558,267.1257986,0.14279681
sahibganj,0.86877882,0.12431162,0.86877882,0.12431162,38.26888658,0.72609526,101.2472277,0.14268357
amritsar,0.90543514,0.50071937,0.90543514,0.50071937,115.7076405,0.76301253,197.418604,0.14242262
belgaum,0.94752669,0.45366645,0.94752669,0.45366645,748.0093491,0.80644733,388.8997524,0.14107937
karauli,0.88773698,0.15883675,0.88773698,0.15883675,53.67515942,0.74787927,119.2728834,0.13985771
patan,0.91553587,0.18507715,0.91553587,0.18507715,179.8537378,0.77631837,192.9336432,0.1392175
nandurbar,0.73474699,0.21235304,0.73474699,0.21235304,226.4374758,0.59577644,146.2962324,0.13897055
dibang valley,0.95359474,0.22896251,0.95359474,0.22896251,0.340930999,0.8154934,0.331649002,0.13810134
kishtwar,0.82827276,0.4138433,0.82827276,0.4138433,29.79463901,0.6902073,35.17615688,0.13806546
ramgarh,0.8563078,0.21820162,0.8563078,0.21820162,40.85649881,0.71829283,74.85078099,0.13801497
mainpuri,0.80135894,0.17102468,0.80135894,0.17102468,62.4310775,0.66350752,160.610731,0.13785142
akola,0.95541555,0.12966751,0.95541555,0.12966751,299.7400842,0.8177976,155.4358328,0.13761795
golaghat,0.77572793,0.20479071,0.77572793,0.20479071,129.7297263,0.63831246,104.4014391,0.13741547
senapati,0.87447369,0.13051008,0.87447369,0.13051008,12.10611317,0.73780531,12.83352717,0.13666838
perambalur,0.8953737,0.24785236,0.8953737,0.24785236,17.83762403,0.75916052,84.43489143,0.13621318
coimbatore,0.94747955,0.62766731,0.94747955,0.62766731,130.4041074,0.81147677,608.0876379,0.13600278
indore,0.91027302,0.45663109,0.91027302,0.45663109,154.5228134,0.77450407,316.4470344,0.13576895
chitradurga,0.91935354,0.34924823,0.91935354,0.34924823,190.8379384,0.78390801,195.1795294,0.13544554
prakasam,0.94528848,0.25310683,0.94528848,0.25310683,366.7117584,0.80996704,338.9102435,0.13532144
munger,0.92360759,0.084857143,0.92360759,0.084857143,174.2106609,0.78846806,105.5483246,0.13513952
karur,0.87584949,0.22237924,0.87584949,0.22237924,34.27616388,0.74128515,179.3855481,0.13456434
dohad,0.80001628,0.088475361,0.80001628,0.088475361,235.7975502,0.66605389,224.2828079,0.13396239
sangli,0.89294428,0.22424741,0.89294428,0.22424741,375.2564964,0.75917763,281.423985,0.13376665
pali,0.95761514,0.38697004,0.95761514,0.38697004,84.16518959,0.82398021,176.6666352,0.13363492
purnia,0.84202564,0.020991908,0.84202564,0.020991908,362.9175879,0.7095381,281.7647241,0.13248754
buxar,0.90117449,0.13116114,0.90117449,0.13116114,177.4357165,0.76873308,157.0160669,0.1324414
gondiya,0.87291932,0.23704728,0.87291932,0.23704728,174.9091924,0.74076355,121.6356993,0.13215578
tikamgarh,0.83926892,0.15630823,0.83926892,0.15630823,66.23706934,0.70737082,126.2944848,0.13189811
bishnupur,0.88874793,0.12721826,0.88874793,0.12721826,28.31724577,0.75703901,14.77794506,0.13170892
upper subansiri,0.86289382,0.11698133,0.86289382,0.11698133,1.987349981,0.73123443,6.354444958,0.13165939
chhatarpur,0.86584157,0.086479694,0.86584157,0.086479694,78.21737221,0.73476297,124.0595728,0.1310786
ajmer,0.93745047,0.29407889,0.93745047,0.29407889,106.4366314,0.80668759,226.0353635,0.13076288
balaghat,0.90053213,0.25267947,0.90053213,0.25267947,81.08052903,0.77022219,182.3490723,0.13030994
anantapur,0.94952053,0.27133876,0.94952053,0.27133876,596.7428353,0.82080227,348.4661932,0.12871826
kohima,0.97646886,0.44579872,0.97646886,0.44579872,22.29285093,0.84793884,16.64702607,0.12853003
dhenkanal,0.86650586,0.34821379,0.86650586,0.34821379,35.9630442,0.73828238,124.5667748,0.12822348
lalitpur,0.92272282,0.11575927,0.92272282,0.11575927,61.33615616,0.79507011,86.04169053,0.1276527
bokaro,0.91803753,0.24553451,0.91803753,0.24553451,72.5713855,0.79091257,172.7532694,0.12712497
puducherry,0.90853107,0.5416339,0.90853107,0.5416339,33.14757402,0.78151059,126.6280217,0.12702048
kandhamal,0.79422665,0.1873232,0.79422665,0.1873232,29.73207445,0.66823173,68.39976555,0.12599492
hugli,0.90137136,0.14197633,0.90137136,0.14197633,702.1948748,0.77585632,537.9690275,0.12551504
janjgir - champa,0.83204228,0.12406442,0.83204228,0.12406442,65.01374108,0.70670682,200.1707592,0.12533545
jyotiba phule nagar,0.94783056,0.27083507,0.94783056,0.27083507,64.56031889,0.82254469,154.9881462,0.12528586
gulbarga,0.8756302,0.21690881,0.8756302,0.21690881,331.9055264,0.75037313,195.3535447,0.12525707
bellary,0.88668185,0.49057412,0.88668185,0.49057412,333.4518131,0.76178193,263.559328,0.12489992
nabarangapur,0.80046254,0.18251196,0.80046254,0.18251196,49.81527406,0.6762383,126.2247172,0.12422425
chandel,0.87746263,0.20862143,0.87746263,0.20862143,9.526463851,0.75367123,8.894351028,0.1237914
kalahandi,0.83741778,0.18647018,0.83741778,0.18647018,52.35797566,0.7148059,135.0915482,0.12261188
dima hasao,0.84776789,0.26483762,0.84776789,0.26483762,26.20937069,0.72569567,15.25629495,0.12207222
sambalpur,0.85723573,0.21247233,0.85723573,0.21247233,38.67134291,0.7360177,101.6990449,0.12121803
lucknow,0.88116574,0.28182676,0.88116574,0.28182676,198.5233143,0.76002651,360.6844472,0.12113923
bhopal,0.95128399,0.45738149,0.95128399,0.45738149,97.13837409,0.83040214,253.5892737,0.12088186
karnal,0.94719785,0.31703639,0.94719785,0.31703639,71.24658057,0.82675195,134.918088,0.12044591
subarnapur,0.89484179,0.18067394,0.89484179,0.18067394,24.49436206,0.77494764,65.40493676,0.11989415
bhandara,0.91830957,0.17266677,0.91830957,0.17266677,172.3089233,0.7985363,109.1473113,0.11977327
alwar,0.92381805,0.22608347,0.92381805,0.22608347,136.6316339,0.80516642,294.0320334,0.11865163
sahibzada ajit singh nagar,0.95400894,0.41375172,0.95400894,0.41375172,42.67895317,0.83611882,74.51729894,0.11789012
tiruvannamalai,0.93707448,0.26964664,0.93707448,0.26964664,84.66773146,0.81946778,341.0803746,0.1176067
longleng,0.92963696,0.24254258,0.92963696,0.24254258,4.818103952,0.8129245,3.525844982,0.11671245
mumbai suburban,0.99079299,0.45597649,0.99079299,0.45597649,1373.108185,0.874309,977.5249238,0.11648399
bharuch,0.87184501,0.18577063,0.87184501,0.18577063,186.9168724,0.7559498,231.3474489,0.11589521
ganjam,0.86714602,0.35511181,0.86714602,0.35511181,109.2978727,0.7513746,303.5149268,0.11577141
guntur,0.85866123,0.14176103,0.85866123,0.14176103,588.9367275,0.74315178,532.786881,0.11550945
baran,0.88146085,0.27557683,0.88146085,0.27557683,64.14447752,0.76630372,105.9393258,0.11515713
vellore,0.90616566,0.60879004,0.90616566,0.60879004,145.544762,0.79121953,608.5760658,0.11494613
kodarma,0.87794596,0.22635597,0.87794596,0.22635597,22.85449398,0.76326889,61.88460875,0.11467707
jhansi,0.9715724,0.36791968,0.9715724,0.36791968,93.39678296,0.85714716,146.3784486,0.11442524
ariyalur,0.89405257,0.38804209,0.89405257,0.38804209,21.19194517,0.78008783,109.3702501,0.11396474
tehri garhwal,0.88405854,0.22315104,0.88405854,0.22315104,15.40382583,0.77094954,68.73811051,0.11310899
thoothukkudi,0.88655472,0.35173279,0.88655472,0.35173279,58.51594207,0.77397233,248.3309119,0.11258239
araria,0.88092196,0.07772439,0.88092196,0.07772439,334.6190839,0.76901114,243.0622735,0.11191082
jharsuguda,0.89671642,0.23735555,0.89671642,0.23735555,24.22438486,0.78568518,55.10016324,0.11103123
thiruvananthapuram,0.96898007,0.40683097,0.96898007,0.40683097,352.3546419,0.8589676,416.4634486,0.11001247
shahid bhagat singh nagar,0.95115089,0.54252374,0.95115089,0.54252374,22.65977599,0.84224963,53.89661214,0.10890126
south garo hills,0.947326,0.1390758,0.947326,0.1390758,13.98116092,0.84011436,11.87183899,0.10721165
anjaw,0.9044109,0.24086092,0.9044109,0.24086092,0.669229005,0.7975238,1.498339011,0.1068871
mirzapur,0.92184645,0.19075108,0.92184645,0.19075108,90.27428514,0.81575102,187.7610108,0.10609543
wardha,0.90683991,0.24103701,0.90683991,0.24103701,196.6610333,0.80141819,124.3010904,0.10542172
udaipur,0.91472518,0.35481077,0.91472518,0.35481077,138.3263165,0.80940539,257.3046845,0.1053198
nashik,0.88217932,0.21284877,0.88217932,0.21284877,806.6829145,0.77932119,663.4268196,0.10285813
pashchimi singhbhum,0.84324402,0.12577097,0.84324402,0.12577097,50.48789802,0.74057508,117.8427018,0.10266894
phek,0.87663192,0.17348707,0.87663192,0.17348707,15.72324287,0.77475315,10.180868,0.10187876
kanshiram nagar,0.87341189,0.20074205,0.87341189,0.20074205,47.08062938,0.7726388,107.4373503,0.1007731
latur,0.94647145,0.26011252,0.94647145,0.26011252,293.1629443,0.84588933,198.5894509,0.10058212
west district,0.91938478,0.17456673,0.91938478,0.17456673,15.04986483,0.81882757,15.21051888,0.10055721
kolasib,0.93307304,0.26666859,0.93307304,0.26666859,10.32767889,0.83257413,5.226948048,0.10049891
birbhum,0.87161356,0.11644422,0.87161356,0.11644422,526.6202295,0.77183247,375.7149045,0.099781096
satna,0.86210352,0.05250144,0.86210352,0.05250144,69.63701516,0.76424158,175.2180055,0.097861946
pakur,0.78713232,0.10212044,0.78713232,0.10212044,30.10060416,0.69042331,86.71849692,0.096709013
bargarh,0.88894629,0.24605599,0.88894629,0.24605599,61.91344148,0.79298353,145.6116083,0.095962763
burhanpur,0.86297029,0.26752198,0.86297029,0.26752198,34.75542487,0.76711732,65.5350979,0.095852971
parbhani,0.91675025,0.20929939,0.91675025,0.20929939,278.2172507,0.82111329,164.1368645,0.095636964
khagaria,0.90960938,0.11206596,0.90960938,0.11206596,170.6544554,0.814861,145.9317634,0.094748378
lohardaga,0.85904884,0.21672031,0.85904884,0.21672031,14.173475,0.76563174,33.91792874,0.093417108
karaikal,0.9365744,0.37742734,0.9365744,0.37742734,8.728765875,0.8432259,26.67765795,0.093348503
thiruvallur,0.93046302,0.40878728,0.93046302,0.40878728,162.04678,0.83780473,675.1832339,0.092658281
palamu,0.84745854,0.19216993,0.84745854,0.19216993,68.39836079,0.75540948,155.2145239,0.092049062
nanded,0.92282444,0.24387319,0.92282444,0.24387319,430.8450645,0.83179647,332.9498876,0.091027975
kurukshetra,0.92050451,0.28801757,0.92050451,0.28801757,32.78417107,0.82987338,81.94245532,0.090631127
rupnagar,0.96624839,0.38603219,0.96624839,0.38603219,27.32129717,0.87651169,51.03301316,0.0897367
tiruchirappalli,0.88858932,0.38109896,0.88858932,0.38109896,91.78064221,0.79970092,382.3407615,0.088888407
aurangabad,0.90046346,0.10071927,0.90046346,0.10071927,262.5115162,0.81206512,184.9165619,0.088398337
gadchiroli,0.89090294,0.27456987,0.89090294,0.27456987,142.7323893,0.80260712,101.8489589,0.088295817
purba medinipur,0.85781777,0.10670815,0.85781777,0.10670815,631.6136451,0.77019471,611.3459172,0.08762306
paschim medinipur,0.84748125,0.042995501,0.84748125,0.042995501,791.4857779,0.76010293,606.9176741,0.087378323
kiphire,0.95265359,0.013903639,0.95265359,0.013903639,5.426116031,0.86569697,5.354756959,0.08695662
nayagarh,0.80515212,0.27162746,0.80515212,0.27162746,37.7118288,0.71829027,97.28939509,0.086861849
dhanbad,0.89829528,0.32097483,0.89829528,0.32097483,101.1245385,0.81233388,241.1769949,0.085961401
jalaun,0.8826555,0.1649224,0.8826555,0.1649224,70.66654763,0.79823399,112.4138993,0.084421515
mon,0.90784931,0.24747783,0.90784931,0.24747783,17.57267022,0.82482719,13.55993807,0.083022118
khunti,0.77616739,0.080146521,0.77616739,0.080146521,16.28963207,0.69387877,46.24827808,0.082288623
baudh,0.8337279,0.20564133,0.8337279,0.20564133,17.53358983,0.75148261,40.89627905,0.08224529
namakkal,0.95358908,0.47188658,0.95358908,0.47188658,56.6472553,0.87180686,269.3984662,0.081782222
tiruppur,0.96830428,0.44331065,0.96830428,0.44331065,70.74147189,0.88721752,423.3184032,0.081086755
jabalpur,0.95696491,0.041402318,0.95696491,0.041402318,59.94917297,0.87595427,218.008891,0.08101064
pratapgarh,0.88211149,0.2619648,0.88211149,0.2619648,109.6301736,0.80135059,235.265022,0.080760896
chandrapur,0.90907753,0.41471192,0.90907753,0.41471192,344.8500321,0.82839113,175.0354465,0.08068639
sirsa,0.85600573,0.2559596,0.85600573,0.2559596,18.15582955,0.77548414,110.7372125,0.080521584
datia,0.86810416,0.22560583,0.86810416,0.22560583,31.991826,0.79019618,71.00176728,0.077907979
ukhrul,0.8831526,0.13806532,0.8831526,0.13806532,13.63154808,0.80701405,9.906811988,0.076138556
ambala,0.89928198,0.29549417,0.89928198,0.29549417,38.99915083,0.82390994,97.58810824,0.07537204
peren,0.93022096,0.10488764,0.93022096,0.10488764,6.219124036,0.85564446,4.079415974,0.074576497
gwalior,0.87814701,0.28884214,0.87814701,0.28884214,90.30334836,0.8035844,178.4918891,0.074562609
navsari,0.8846966,0.29653224,0.8846966,0.29653224,183.465838,0.81023067,196.4837466,0.07446593
kota,0.96002287,0.42340159,0.96002287,0.42340159,75.42890367,0.8860237,176.3403822,0.073999166
yamunanagar,0.9056381,0.23690462,0.9056381,0.23690462,47.11333013,0.83306575,111.4347755,0.072572351
jamtara,0.84544599,0.16913739,0.84544599,0.16913739,30.77790917,0.77306408,73.51077473,0.072381914
balangir,0.86978418,0.28402051,0.86978418,0.28402051,66.04841131,0.79778218,174.5306762,0.072001994
dungarpur,0.87886345,0.4277961,0.87886345,0.4277961,76.35301799,0.80723149,130.4052986,0.071631968
thanjavur,0.92246014,0.33885413,0.92246014,0.33885413,63.762815,0.85086799,327.4099331,0.071592152
rajgarh,0.86422944,0.094449461,0.86422944,0.094449461,64.59695122,0.7927435,147.322408,0.071485937
sehore,0.83748972,0.20375708,0.83748972,0.20375708,59.63095835,0.76625282,116.9057654,0.071236908
sheopur,0.78656095,0.27680954,0.78656095,0.27680954,27.24497198,0.71577603,62.4686729,0.070784926
muktsar,0.90086496,0.22462951,0.90086496,0.22462951,40.38471013,0.83062249,94.26843825,0.070242465
dhamtari,0.82586151,0.19773442,0.82586151,0.19773442,31.555877,0.75569308,91.71631703,0.070168436
