State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual
1,1,9,7,1,1,0,0,1,7,7,0
1,2,62,8,13,41,41,0,0,8,8,0
1,3,25,23,0,2,1,0,1,22,23,1
1,4,9,1,0,8,3,0,5,1,1,0
1,5,47,10,4,33,27,0,6,10,10,0
1,6,65,8,15,42,23,0,19,7,8,1
1,7,97,20,29,48,33,2,13,16,20,4
1,8,14,7,0,7,7,0,0,7,7,0
1,9,10,3,2,5,5,0,0,3,3,0
1,10,195,64,89,42,40,0,2,64,64,0
1,11,38,5,4,29,27,0,2,5,5,0
1,12,23,6,6,11,11,0,0,6,6,0
1,13,23,7,5,11,6,0,5,7,7,0
1,14,65,23,6,36,32,0,4,22,23,1
1,15,31,8,4,19,17,1,1,8,8,0
1,16,22,9,6,7,7,0,0,9,9,0
1,17,9,2,1,6,4,1,1,1,2,1
1,18,8,3,2,3,3,0,0,3,3,0
1,19,67,23,9,35,30,0,5,21,23,2
1,20,23,10,2,11,10,0,1,10,10,0
1,21,180,66,66,48,31,1,16,60,66,6
1,22,53,15,16,22,17,0,5,13,15,2
2,1,162,12,10,140,96,0,44,8,12,4
2,2,371,61,15,295,199,0,96,38,61,23
2,3,17,4,0,13,6,0,7,4,4,0
2,4,144,9,3,132,37,0,95,8,9,1
2,5,238,20,8,210,99,0,111,15,20,5
2,6,117,18,7,92,79,0,13,16,18,2
2,7,129,19,6,104,89,1,14,17,19,2
2,8,71,11,4,56,47,0,9,8,11,3
2,9,212,63,7,142,74,0,68,59,63,4
2,10,79,16,4,59,22,0,37,14,16,2
2,11,168,53,8,107,45,2,60,40,53,13
2,12,4,2,0,2,0,0,2,2,2,0
3,1,16,13,1,2,2,0,0,11,13,2
3,2,22,14,4,4,3,0,1,12,14,2
3,3,116,71,13,32,19,1,12,63,71,8
3,4,34,9,7,18,12,0,6,7,9,2
3,5,52,12,8,32,26,0,6,8,12,4
3,6,20,7,7,6,6,0,0,6,7,1
3,7,154,104,13,37,23,4,10,92,104,12
3,8,21,11,2,8,7,0,1,8,11,3
3,9,26,17,0,9,8,0,1,14,17,3
3,10,28,22,0,6,4,1,1,21,22,1
3,11,25,14,3,8,7,0,1,9,14,5
3,12,39,28,2,9,6,1,2,27,28,1
3,13,19,10,3,6,5,0,1,10,10,0
3,14,48,24,6,18,14,0,4,18,24,6
3,15,55,37,4,14,12,1,1,35,37,2
3,16,17,8,4,5,5,0,0,3,8,5
3,17,12,4,2,6,5,0,1,3,4,1
3,18,46,31,4,11,7,2,2,30,31,1
3,19,85,38,3,44,35,1,8,25,38,13
3,20,47,17,3,27,24,0,3,10,17,7
3,21,7,4,1,2,1,0,1,4,4,0
3,22,53,38,7,8,7,0,1,16,38,22
5,1,32,4,3,25,13,0,12,4,4,0
5,2,12,3,0,9,2,0,7,3,3,0
5,3,9,0,1,8,5,0,3,0,0,0
5,4,22,10,1,11,9,0,2,7,10,3
5,5,88,39,10,39,26,0,13,35,39,4
5,6,46,7,0,39,26,0,13,6,7,1
5,7,88,12,5,71,43,0,28,12,12,0
5,8,55,5,1,49,25,0,24,5,5,0
5,9,61,10,2,49,28,0,21,10,10,0
5,10,39,5,6,28,22,0,6,4,5,1
5,11,67,15,2,50,19,0,31,13,15,2
5,12,116,55,14,47,15,1,31,35,55,20
5,13,64,38,8,18,15,0,3,37,38,1
6,1,29,21,3,5,2,0,3,17,21,4
6,2,23,13,5,5,3,1,1,7,13,6
6,3,22,14,6,2,2,0,0,9,14,5
6,4,17,9,4,4,2,0,2,5,9,4
6,5,18,7,7,4,3,0,1,6,7,1
6,6,63,34,0,29,17,0,12,15,34,19
6,7,67,50,0,17,14,0,3,40,50,10
6,8,37,27,0,10,7,0,3,11,27,16
6,9,57,39,0,18,4,0,14,11,39,28
6,10,14,4,2,8,8,0,0,1,4,3
6,11,26,11,2,13,12,0,1,3,11,8
6,12,25,13,2,10,9,0,1,12,13,1
6,13,91,33,11,47,39,0,8,16,33,17
6,14,7,6,0,1,1,0,0,6,6,0
6,15,13,9,0,4,3,0,1,5,9,4
6,16,6,5,1,0,0,0,0,4,5,1
6,17,19,15,0,4,4,0,0,14,15,1
6,18,73,64,4,5,5,0,0,64,64,0
6,19,8,5,2,1,1,0,0,2,5,3
6,20,29,25,2,2,1,0,1,24,25,1
6,21,3,1,2,0,0,0,0,0,1,1
8,1,16,10,2,4,3,0,1,10,10,0
8,2,10,4,2,4,2,0,2,1,4,3
8,3,21,8,3,10,7,0,3,8,8,0
8,4,81,7,2,72,22,0,50,7,7,0
8,5,31,5,5,21,7,0,14,4,5,1
8,6,127,35,8,84,57,0,27,26,35,9
8,7,102,11,1,90,61,0,29,6,11,5
8,8,77,3,2,72,39,1,32,3,3,0
8,9,13,7,0,6,3,0,3,2,7,5
8,10,21,8,1,12,9,0,3,3,8,5
8,11,49,10,0,39,25,0,14,4,10,6
8,12,206,66,15,125,48,1,76,47,66,19
8,13,99,14,6,79,34,0,45,6,14,8
8,14,120,13,1,106,35,0,71,12,13,1
8,15,50,17,2,31,14,0,17,13,17,4
8,16,10,4,0,6,1,0,5,1,4,3
8,17,62,8,0,54,11,0,43,8,8,0
8,18,40,15,0,25,7,0,18,6,15,9
8,19,33,9,1,23,6,0,17,2,9,7
8,20,23,10,1,12,4,0,8,6,10,4
8,21,50,10,2,38,20,0,18,9,10,1
8,22,36,4,2,30,13,0,17,2,4,2
8,23,26,4,0,22,7,0,15,3,4,1
8,24,131,17,1,113,27,0,86,11,17,6
8,25,58,8,1,49,17,0,32,6,8,2
8,26,28,3,0,25,5,0,20,3,3,0
8,27,93,16,3,74,26,0,48,4,16,12
8,28,36,5,1,30,9,0,21,3,5,2
8,29,33,22,2,9,6,0,3,8,22,14
8,30,21,5,1,15,4,0,11,2,5,3
8,31,15,6,2,7,3,0,4,4,6,2
8,32,141,33,3,105,38,2,65,25,33,8
8,33,73,17,3,53,8,0,45,8,17,9
9,1,40,21,3,16,7,0,9,9,21,12
9,2,60,21,0,39,16,0,23,13,21,8
9,3,12,10,0,2,1,0,1,4,10,6
9,4,12,9,0,3,0,0,3,3,9,6
9,5,9,8,1,0,0,0,0,4,8,4
9,6,8,1,0,7,2,0,5,1,1,0
9,7,14,7,1,6,5,0,1,6,7,1
9,8,13,10,1,2,1,0,1,3,10,7
9,9,38,25,6,7,6,0,1,22,25,3
9,10,28,17,8,3,3,0,0,17,17,0
9,11,82,19,0,63,20,0,43,16,19,3
9,12,35,14,0,21,10,0,11,12,14,2
9,13,10,4,0,6,3,0,3,4,4,0
9,14,15,6,0,9,2,0,7,6,6,0
9,15,23,15,3,5,4,0,1,14,15,1
9,16,26,7,2,17,9,0,8,7,7,0
9,17,5,1,0,4,3,0,1,0,1,1
9,18,6,0,0,6,4,0,2,0,0,0
9,19,18,8,1,9,4,0,5,8,8,0
9,20,8,0,0,8,2,0,6,0,0,0
9,21,6,2,0,4,4,0,0,2,2,0
9,22,43,6,0,37,10,0,27,6,6,0
9,23,39,7,0,32,4,0,28,7,7,0
9,24,18,3,2,13,3,0,10,3,3,0
9,25,64,12,3,49,10,0,39,10,12,2
9,26,90,40,10,40,13,2,25,40,40,0
9,27,42,14,1,27,10,0,17,4,14,10
9,28,13,1,2,10,5,0,5,1,1,0
9,29,14,4,3,7,3,0,4,3,4,1
9,30,8,3,0,5,2,0,3,3,3,0
9,31,3,0,0,3,3,0,0,0,0,0
9,32,6,4,0,2,2,0,0,3,4,1
9,33,62,36,14,12,4,0,8,28,36,8
9,34,24,6,0,18,4,0,14,0,6,6
9,35,68,13,0,55,17,0,38,9,13,4
9,36,52,10,1,41,7,0,34,4,10,6
9,37,48,18,0,30,3,0,27,1,18,17
9,38,22,3,1,18,3,0,15,0,3,3
9,39,31,8,0,23,11,0,12,6,8,2
9,40,37,7,0,30,8,0,22,4,7,3
9,41,51,11,0,40,10,0,30,4,11,7
9,42,19,2,0,17,13,0,4,1,2,1
9,43,8,1,0,7,4,0,3,0,1,1
9,44,53,18,3,32,18,0,14,9,18,9
9,45,69,5,2,62,13,0,49,5,5,0
9,46,32,10,2,20,10,0,10,5,10,5
9,47,10,2,1,7,6,0,1,2,2,0
9,48,18,5,0,13,5,0,8,5,5,0
9,49,41,3,2,36,12,0,24,2,3,1
9,50,2,1,0,1,1,0,0,1,1,0
9,51,32,6,1,25,3,0,22,2,6,4
9,52,35,5,0,30,5,0,25,3,5,2
9,53,30,5,0,25,16,0,9,5,5,0
9,54,25,6,2,17,7,0,10,5,6,1
9,55,11,2,1,8,7,0,1,2,2,0
9,56,15,5,1,9,4,0,5,5,5,0
9,57,27,8,1,18,16,0,2,6,8,2
9,58,24,2,0,22,18,0,4,2,2,0
9,59,9,1,2,6,6,0,0,1,1,0
9,60,55,9,2,44,28,0,16,5,9,4
9,61,20,2,3,15,8,0,7,2,2,0
9,62,52,5,1,46,35,0,11,3,5,2
9,63,56,4,1,51,33,0,18,2,4,2
9,64,71,14,0,57,18,2,37,11,14,3
9,65,23,12,0,11,1,0,10,1,12,11
9,66,41,9,6,26,11,0,15,7,9,2
9,67,2,0,0,2,2,0,0,0,0,0
9,68,21,6,0,15,4,0,11,1,6,5
9,69,26,5,0,21,2,0,19,2,5,3
9,70,13,1,0,12,4,0,8,1,1,0
9,71,19,6,0,13,4,0,9,1,6,5
10,1,7,2,0,5,3,0,2,2,2,0
10,2,7,3,1,3,3,0,0,1,3,2
10,4,4,3,0,1,0,0,1,1,3,2
10,5,4,3,0,1,1,0,0,1,3,2
10,6,33,15,1,17,4,0,13,2,15,13
10,7,24,7,0,17,3,0,14,4,7,3
10,8,15,7,0,8,4,0,4,4,7,3
10,9,33,18,0,15,8,0,7,8,18,10
10,10,41,26,0,15,4,0,11,12,26,14
10,11,22,8,1,13,7,0,6,4,8,4
10,12,13,5,0,8,2,0,6,2,5,3
10,13,11,3,0,8,7,0,1,1,3,2
10,14,17,11,0,6,5,0,1,6,11,5
10,15,6,1,0,5,5,0,0,1,1,0
10,16,30,5,1,24,15,0,9,1,5,4
10,17,12,5,1,6,6,0,0,4,5,1
10,18,6,3,0,3,3,0,0,1,3,2
10,19,7,5,0,2,2,0,0,0,5,5
10,20,10,8,0,2,2,0,0,1,8,7
10,21,13,5,0,8,5,0,3,1,5,4
10,22,14,5,1,8,6,0,2,5,5,0
10,23,3,3,0,0,0,0,0,1,3,2
10,24,23,6,2,15,8,0,7,6,6,0
10,25,3,0,0,3,3,0,0,0,0,0
10,26,1,1,0,0,0,0,0,1,1,0
10,27,38,25,0,13,6,0,7,5,25,20
10,28,48,20,9,19,17,0,2,20,20,0
10,29,34,7,5,22,17,0,5,7,7,0
10,30,11,4,0,7,7,0,0,3,4,1
10,31,3,2,0,1,0,0,1,0,2,2
10,32,19,3,0,16,12,0,4,3,3,0
10,33,4,2,0,2,2,0,0,2,2,0
10,34,17,10,0,7,7,0,0,6,10,4
10,35,4,1,0,3,2,0,1,1,1,0
10,36,10,3,0,7,2,0,5,3,3,0
10,37,1,1,0,0,0,0,0,0,1,1
10,38,1,1,0,0,0,0,0,1,1,0
11,1,84,41,1,42,17,0,25,40,41,1
11,2,130,36,2,92,43,0,49,34,36,2
11,3,118,58,2,58,21,0,37,57,58,1
11,4,216,126,4,86,27,0,59,122,126,4
12,1,8,3,2,3,3,0,0,2,3,1
12,2,20,13,2,5,5,0,0,12,13,1
12,3,15,9,0,6,6,0,0,9,9,0
12,4,83,44,12,27,27,0,0,44,44,0
12,5,11,5,1,5,5,0,0,5,5,0
12,6,38,20,10,8,7,0,1,19,20,1
12,7,51,11,8,32,16,0,16,11,11,0
12,8,22,2,0,20,8,0,12,2,2,0
12,9,121,35,13,73,35,1,37,30,35,5
12,10,46,6,6,34,17,0,17,6,6,0
12,11,13,5,1,7,6,0,1,5,5,0
12,12,8,3,3,2,2,0,0,3,3,0
12,13,2,1,0,1,1,0,0,1,1,0
12,14,38,7,3,28,16,1,11,7,7,0
12,15,131,47,12,72,36,0,36,45,47,2
13,1,106,10,27,69,21,0,48,10,10,0
13,2,97,28,22,47,13,0,34,28,28,0
13,3,16,1,4,11,2,0,9,1,1,0
13,4,61,13,24,24,3,0,21,13,13,0
13,5,94,27,29,38,22,0,16,27,27,0
13,6,41,1,4,36,6,0,30,1,1,0
13,7,79,8,30,41,12,0,29,8,8,0
13,8,4,2,0,2,1,0,1,2,2,0
13,9,8,1,3,4,1,0,3,1,1,0
13,10,116,40,28,48,25,0,23,40,40,0
13,11,44,9,14,21,6,0,15,9,9,0
14,1,140,36,14,90,60,1,29,32,36,4
14,2,31,5,4,22,20,0,2,5,5,0
14,3,94,33,11,50,41,0,9,30,33,3
14,4,127,33,12,82,73,0,9,26,33,7
14,5,217,48,12,157,137,0,20,42,48,6
14,6,436,153,34,249,220,1,28,140,153,13
14,7,149,31,9,109,105,0,4,23,31,8
14,8,55,15,12,28,19,0,9,15,15,0
14,9,28,12,2,14,13,0,1,10,12,2
15,1,47,7,7,33,18,0,15,7,7,0
15,2,60,10,6,44,24,0,20,9,10,1
15,3,376,115,30,231,174,1,56,102,115,13
15,4,96,22,5,69,22,1,46,16,22,6
15,5,37,6,3,28,18,0,10,5,6,1
15,6,145,38,7,100,65,0,35,34,38,4
15,7,88,15,4,69,30,1,38,10,15,5
15,8,54,10,2,42,23,0,19,10,10,0
16,1,367,179,19,169,115,1,53,117,179,62
16,2,163,56,9,98,58,0,40,29,56,27
16,3,87,25,3,59,23,0,36,19,25,6
16,4,75,51,3,21,14,0,7,40,51,11
17,1,129,18,2,109,4,0,105,16,18,2
17,2,132,21,4,107,10,0,97,20,21,1
17,3,40,2,0,38,1,0,37,2,2,0
17,4,82,61,4,17,12,0,5,37,61,24
17,5,112,53,6,53,45,0,8,31,53,22
17,6,290,170,34,86,60,0,26,138,170,32
17,7,115,71,10,34,26,0,8,39,71,32
18,1,7,6,0,1,1,0,0,3,6,3
18,2,35,24,6,5,3,1,1,21,24,3
18,3,21,13,2,6,5,0,1,13,13,0
18,4,19,15,3,1,1,0,0,14,15,1
18,5,19,4,10,5,5,0,0,3,4,1
18,6,130,61,43,26,23,0,3,53,61,8
18,7,44,35,3,6,4,0,2,22,35,13
18,8,11,7,1,3,1,0,2,5,7,2
18,9,8,3,1,4,4,0,0,1,3,2
18,10,113,62,14,37,18,0,19,54,62,8
18,11,97,49,10,38,18,0,20,47,49,2
18,12,43,22,7,14,11,0,3,12,22,10
18,13,54,28,15,11,9,0,2,22,28,6
