State_Code,DistrictCode,in_labour_force,Employed,Unemployed,Employed_self,Employed_ownacc,Employed_ownent,Employed_help,Employed_Salaried,Employed_wages,Employed_casual,State,District
18,11,97,49,10,38,18,0,20,47,49,2,Assam,dibrugarh
18,12,43,22,7,14,11,0,3,12,22,10,Assam,sivasagar
18,13,54,28,15,11,9,0,2,22,28,6,Assam,jorhat
18,14,26,13,2,11,11,0,0,7,13,6,Assam,golaghat
18,15,12,8,0,4,3,0,1,8,8,0,Assam,karbi anglong
18,16,3,3,0,0,0,0,0,3,3,0,Assam,dima hasao
18,17,21,18,0,3,3,0,0,17,18,1,Assam,cachar
18,18,18,13,1,4,2,0,2,12,13,1,Assam,karimganj
18,19,3,2,0,1,1,0,0,2,2,0,Assam,hailakandi
18,20,28,9,6,13,10,0,3,9,9,0,Assam,bongaigaon
18,21,6,4,2,0,0,0,0,2,4,2,Assam,chirang
18,22,45,21,9,15,10,0,5,13,21,8,Assam,kamrup
18,23,45,22,10,13,11,1,1,22,22,0,Assam,kamrup metropolitan
18,24,11,6,2,3,2,0,1,5,6,1,Assam,nalbari
18,25,28,13,3,12,5,1,6,10,13,3,Assam,baksa
18,26,11,6,2,3,3,0,0,5,6,1,Assam,darrang
18,27,30,20,4,6,5,0,1,15,20,5,Assam,udalguri
19,1,67,48,4,15,10,0,5,38,48,10,West Bengal,darjiling
19,2,109,53,6,50,20,0,30,30,53,23,West Bengal,jalpaiguri
19,3,64,20,0,44,7,0,37,6,20,14,West Bengal,koch bihar
19,4,20,14,2,4,3,0,1,11,14,3,West Bengal,uttar dinajpur
19,5,36,17,1,18,11,0,7,12,17,5,West Bengal,dakshin dinajpur
19,6,64,17,2,45,42,0,3,9,17,8,West Bengal,maldah
19,7,159,30,8,121,116,2,3,28,30,2,West Bengal,murshidabad
19,8,56,27,6,23,22,0,1,10,27,17,West Bengal,birbhum
19,9,104,68,5,31,28,0,3,30,68,38,West Bengal,barddhaman
19,10,135,49,12,74,62,1,11,41,49,8,West Bengal,nadia
19,11,211,122,13,76,45,7,24,108,122,14,West Bengal,north twenty four parganas
19,12,143,76,23,44,28,0,16,59,76,17,West Bengal,hugli
19,13,5,5,0,0,0,0,0,1,5,4,West Bengal,bankura
19,14,30,16,2,12,11,0,1,6,16,10,West Bengal,puruliya
19,15,74,28,3,43,35,3,5,26,28,2,West Bengal,haora
19,16,114,86,6,22,16,0,6,81,86,5,West Bengal,kolkata
19,17,97,42,6,49,38,0,11,36,42,6,West Bengal,south twenty four parganas
19,18,59,35,2,22,9,1,12,20,35,15,West Bengal,paschim medinipur
19,19,46,16,8,22,9,2,11,15,16,1,West Bengal,purba medinipur
20,1,70,7,0,63,10,0,53,0,7,7,Jharkhand,garhwa
20,2,33,4,0,29,3,0,26,3,4,1,Jharkhand,chatra
20,3,23,1,0,22,3,0,19,1,1,0,Jharkhand,kodarma
20,4,41,10,1,30,9,0,21,9,10,1,Jharkhand,giridih
20,5,18,5,1,12,4,0,8,5,5,0,Jharkhand,deoghar
20,6,16,3,0,13,5,0,8,3,3,0,Jharkhand,godda
20,7,16,3,0,13,4,0,9,3,3,0,Jharkhand,sahibganj
20,8,32,1,0,31,24,0,7,0,1,1,Jharkhand,pakur
20,9,59,23,8,28,18,0,10,17,23,6,Jharkhand,dhanbad
20,10,36,17,5,14,4,0,10,13,17,4,Jharkhand,bokaro
20,11,13,5,0,8,1,0,7,2,5,3,Jharkhand,lohardaga
20,12,101,58,9,34,18,0,16,34,58,24,Jharkhand,purbi singhbhum
20,13,42,7,0,35,8,0,27,3,7,4,Jharkhand,palamu
20,14,35,0,1,34,2,0,32,0,0,0,Jharkhand,latehar
20,15,78,7,1,70,15,0,55,6,7,1,Jharkhand,hazaribagh
20,16,27,5,0,22,9,0,13,3,5,2,Jharkhand,ramgarh
20,17,25,9,0,16,4,0,12,8,9,1,Jharkhand,dumka
20,18,21,5,0,16,2,0,14,3,5,2,Jharkhand,jamtara
20,19,131,40,7,84,29,0,55,32,40,8,Jharkhand,ranchi
20,20,40,6,0,34,7,0,27,4,6,2,Jharkhand,khunti
20,21,42,10,0,32,7,0,25,7,10,3,Jharkhand,gumla
20,22,33,3,0,30,3,0,27,3,3,0,Jharkhand,simdega
20,23,26,6,1,19,8,0,11,4,6,2,Jharkhand,pashchimi singhbhum
20,24,50,11,1,38,7,0,31,5,11,6,Jharkhand,saraikela kharsawan
21,1,44,27,4,13,5,0,8,4,27,23,Odisha,bargarh
21,2,45,20,1,24,6,0,18,7,20,13,Odisha,jharsuguda
21,3,76,22,1,53,29,0,24,15,22,7,Odisha,sambalpur
21,4,6,2,0,4,1,0,3,0,2,2,Odisha,debagarh
21,5,64,37,8,19,9,0,10,15,37,22,Odisha,sundargarh
21,6,80,26,0,54,7,0,47,12,26,14,Odisha,kendujhar
21,7,138,30,7,101,22,1,78,12,30,18,Odisha,mayurbhanj
21,8,95,30,5,60,12,0,48,18,30,12,Odisha,baleshwar
21,9,26,12,2,12,10,0,2,8,12,4,Odisha,bhadrak
21,10,19,8,4,7,6,0,1,7,8,1,Odisha,kendrapara
21,11,17,8,1,8,5,0,3,5,8,3,Odisha,jagatsinghapur
21,12,41,26,2,13,9,0,4,18,26,8,Odisha,cuttack
21,13,44,13,3,28,21,0,7,7,13,6,Odisha,jajapur
21,14,21,11,2,8,5,0,3,4,11,7,Odisha,dhenkanal
21,15,23,12,1,10,4,0,6,5,12,7,Odisha,anugul
21,16,14,8,1,5,3,0,2,7,8,1,Odisha,nayagarh
21,17,53,37,5,11,9,0,2,29,37,8,Odisha,khordha
21,18,32,16,2,14,9,0,5,8,16,8,Odisha,puri
21,19,152,47,23,82,37,0,45,17,47,30,Odisha,ganjam
21,20,28,9,5,14,3,0,11,1,9,8,Odisha,gajapati
21,21,27,9,6,12,4,0,8,5,9,4,Odisha,kandhamal
21,22,11,3,4,4,0,0,4,2,3,1,Odisha,baudh
21,23,43,18,0,25,4,0,21,1,18,17,Odisha,subarnapur
21,24,51,34,3,14,8,0,6,16,34,18,Odisha,balangir
21,25,21,3,0,18,1,0,17,1,3,2,Odisha,nuapada
21,26,52,19,2,31,0,0,31,4,19,15,Odisha,kalahandi
21,27,73,24,1,48,10,0,38,12,24,12,Odisha,rayagada
21,28,84,26,1,57,4,0,53,7,26,19,Odisha,nabarangapur
21,29,64,33,0,31,6,0,25,16,33,17,Odisha,koraput
21,30,33,12,2,19,5,0,14,8,12,4,Odisha,malkangiri
22,1,47,8,5,34,3,0,31,7,8,1,Chhattisgarh,korea (koriya)
22,2,69,7,0,62,4,0,58,6,7,1,Chhattisgarh,surguja
22,3,44,4,0,40,4,0,36,3,4,1,Chhattisgarh,jashpur
22,4,72,38,5,29,4,0,25,22,38,16,Chhattisgarh,raigarh
22,5,71,16,0,55,4,0,51,9,16,7,Chhattisgarh,korba
22,6,60,20,3,37,5,1,31,16,20,4,Chhattisgarh,janjgir - champa
22,7,58,21,2,35,5,0,30,15,21,6,Chhattisgarh,bilaspur
22,8,49,7,0,42,6,0,36,3,7,4,Chhattisgarh,kabeerdham
22,9,114,22,0,92,12,1,79,14,22,8,Chhattisgarh,rajnandgaon
22,10,94,49,2,43,14,0,29,33,49,16,Chhattisgarh,durg
22,11,151,62,14,75,16,1,58,38,62,24,Chhattisgarh,raipur
22,12,99,20,5,74,6,0,68,8,20,12,Chhattisgarh,mahasamund
22,13,70,19,0,51,8,0,43,8,19,11,Chhattisgarh,dhamtari
22,14,94,14,0,80,4,0,76,9,14,5,Chhattisgarh,uttar bastar kanker
22,15,67,13,0,54,2,0,52,3,13,10,Chhattisgarh,bastar
22,16,25,11,0,14,2,0,12,7,11,4,Chhattisgarh,narayanpur
22,17,8,3,0,5,2,0,3,3,3,0,Chhattisgarh,dakshin bastar dantewada
22,19,128,51,4,73,13,0,60,25,51,26,Chhattisgarh,balodabazar
22,20,17,4,0,13,2,0,11,0,4,4,Chhattisgarh,gariyaband
22,21,21,0,0,21,5,0,16,0,0,0,Chhattisgarh,kondagaon
22,22,9,0,0,9,2,0,7,0,0,0,Chhattisgarh,sukama
22,23,37,8,1,28,2,0,26,5,8,3,Chhattisgarh,bemetara
22,24,69,18,0,51,13,0,38,7,18,11,Chhattisgarh,balod
22,25,72,20,0,52,5,0,47,9,20,11,Chhattisgarh,mungeli
22,26,71,2,1,68,1,0,67,2,2,0,Chhattisgarh,surajpur
22,27,17,1,0,16,0,0,16,1,1,0,Chhattisgarh,balrampur
23,1,5,4,1,0,0,0,0,3,4,1,Madhya Pradesh,sheopur
23,2,6,2,1,3,2,0,1,2,2,0,Madhya Pradesh,morena
23,3,19,8,5,6,0,0,6,6,8,2,Madhya Pradesh,bhind
23,4,31,14,1,16,6,0,10,10,14,4,Madhya Pradesh,gwalior
23,5,10,3,0,7,1,0,6,2,3,1,Madhya Pradesh,datia
23,6,24,5,1,18,2,0,16,1,5,4,Madhya Pradesh,shivpuri
23,7,24,6,1,17,6,0,11,1,6,5,Madhya Pradesh,tikamgarh
23,8,27,9,0,18,5,0,13,2,9,7,Madhya Pradesh,chhatarpur
23,9,2,1,0,1,0,0,1,1,1,0,Madhya Pradesh,panna
23,10,95,20,2,73,44,0,29,13,20,7,Madhya Pradesh,sagar
23,11,27,13,1,13,4,0,9,7,13,6,Madhya Pradesh,damoh
23,12,85,28,1,56,15,0,41,11,28,17,Madhya Pradesh,satna
23,13,57,13,2,42,8,0,34,7,13,6,Madhya Pradesh,rewa
23,14,9,4,0,5,0,0,5,1,4,3,Madhya Pradesh,umaria
23,15,43,18,0,25,10,0,15,3,18,15,Madhya Pradesh,neemuch
23,16,37,13,0,24,5,0,19,2,13,11,Madhya Pradesh,mandsaur
23,17,42,16,0,26,3,0,23,4,16,12,Madhya Pradesh,ratlam
23,18,78,27,3,48,6,0,42,18,27,9,Madhya Pradesh,ujjain
23,19,89,28,0,61,2,0,59,10,28,18,Madhya Pradesh,shajapur
23,20,45,13,0,32,2,0,30,3,13,10,Madhya Pradesh,dewas
23,21,68,36,1,31,9,0,22,13,36,23,Madhya Pradesh,dhar
23,22,119,77,4,38,20,0,18,61,77,16,Madhya Pradesh,indore
23,23,110,48,2,60,9,0,51,7,48,41,Madhya Pradesh,khargone (west nimar)
23,24,52,10,1,41,11,0,30,5,10,5,Madhya Pradesh,barwani
23,25,96,32,0,64,8,0,56,10,32,22,Madhya Pradesh,rajgarh
23,26,29,20,1,8,2,0,6,9,20,11,Madhya Pradesh,vidisha
23,27,71,43,5,23,13,3,7,39,43,4,Madhya Pradesh,bhopal
23,28,31,16,5,10,3,0,7,10,16,6,Madhya Pradesh,sehore
23,29,41,14,5,22,8,0,14,7,14,7,Madhya Pradesh,raisen
23,30,39,20,3,16,5,0,11,9,20,11,Madhya Pradesh,betul
23,31,4,3,0,1,0,0,1,1,3,2,Madhya Pradesh,harda
23,32,14,8,1,5,3,0,2,6,8,2,Madhya Pradesh,hoshangabad
23,33,8,2,1,5,2,0,3,2,2,0,Madhya Pradesh,katni
23,34,81,35,4,42,16,1,25,18,35,17,Madhya Pradesh,jabalpur
23,35,32,11,0,21,6,0,15,3,11,8,Madhya Pradesh,narsimhapur
23,36,62,13,0,49,2,0,47,6,13,7,Madhya Pradesh,dindori
23,37,34,8,0,26,3,0,23,1,8,7,Madhya Pradesh,mandla
23,38,50,25,5,20,8,0,12,12,25,13,Madhya Pradesh,chhindwara
23,39,54,21,0,33,6,0,27,5,21,16,Madhya Pradesh,seoni
23,40,59,32,2,25,10,0,15,12,32,20,Madhya Pradesh,balaghat
23,41,22,2,0,20,2,0,18,2,2,0,Madhya Pradesh,guna
23,42,11,2,0,9,2,0,7,2,2,0,Madhya Pradesh,ashoknagar
23,43,32,12,0,20,5,0,15,7,12,5,Madhya Pradesh,shahdol
23,44,16,9,0,7,7,0,0,4,9,5,Madhya Pradesh,anuppur
23,45,40,7,1,32,6,0,26,2,7,5,Madhya Pradesh,sidhi
23,46,47,1,0,46,6,0,40,1,1,0,Madhya Pradesh,singrauli
23,47,39,13,0,26,2,0,24,6,13,7,Madhya Pradesh,jhabua
23,48,31,7,0,24,6,0,18,4,7,3,Madhya Pradesh,alirajpur
23,49,48,19,2,27,8,0,19,6,19,13,Madhya Pradesh,khandwa (east nimar)
23,50,40,22,4,14,11,0,3,4,22,18,Madhya Pradesh,burhanpur
24,1,35,19,0,16,5,0,11,8,19,11,Gujarat,kachchh
24,2,95,22,0,73,63,1,9,11,22,11,Gujarat,banas kantha
24,3,60,22,0,38,31,0,7,11,22,11,Gujarat,patan
24,4,48,23,0,25,21,0,4,10,23,13,Gujarat,mahesana
24,5,35,12,1,22,13,0,9,3,12,9,Gujarat,sabar kantha
24,6,6,4,0,2,2,0,0,4,4,0,Gujarat,gandhinagar
24,7,143,76,5,62,20,2,40,61,76,15,Gujarat,ahmadabad
24,8,37,23,1,13,5,0,8,8,23,15,Gujarat,surendranagar
24,9,89,22,3,64,8,0,56,10,22,12,Gujarat,rajkot
24,10,52,13,0,39,7,0,32,7,13,6,Gujarat,jamnagar
24,11,9,5,0,4,0,0,4,2,5,3,Gujarat,porbandar
24,12,56,13,1,42,2,0,40,2,13,11,Gujarat,junagadh
24,13,25,1,0,24,4,0,20,1,1,0,Gujarat,amreli
24,14,66,22,0,44,17,3,24,18,22,4,Gujarat,bhavnagar
24,15,24,15,0,9,3,0,6,7,15,8,Gujarat,anand
24,16,26,5,2,19,9,0,10,2,5,3,Gujarat,kheda
24,17,101,8,1,92,69,0,23,6,8,2,Gujarat,panch mahals
24,18,102,22,0,80,22,0,58,7,22,15,Gujarat,dohad
24,19,112,47,4,61,29,1,31,37,47,10,Gujarat,vadodara
24,20,53,8,0,45,15,0,30,1,8,7,Gujarat,narmada
24,21,23,10,0,13,10,0,3,7,10,3,Gujarat,bharuch
24,23,49,30,0,19,7,0,12,10,30,20,Gujarat,navsari
24,24,62,29,0,33,8,0,25,23,29,6,Gujarat,valsad
24,25,145,73,2,70,55,0,15,54,73,19,Gujarat,surat
24,26,36,22,0,14,2,0,12,3,22,19,Gujarat,tapi
28,1,133,84,4,45,12,0,33,27,84,57,Andhra Pradesh,srikakulam
28,2,63,34,7,22,11,0,11,10,34,24,Andhra Pradesh,vizianagaram
28,3,147,88,9,50,18,0,32,51,88,37,Andhra Pradesh,visakhapatnam
28,4,126,69,11,46,17,1,28,40,69,29,Andhra Pradesh,east godavari
28,5,105,71,8,26,10,0,16,20,71,51,Andhra Pradesh,west godavari
28,6,151,110,9,32,17,1,14,57,110,53,Andhra Pradesh,krishna
28,7,261,164,17,80,26,2,52,62,164,102,Andhra Pradesh,guntur
28,8,136,78,6,52,38,0,14,23,78,55,Andhra Pradesh,prakasam
28,9,117,59,7,51,24,0,27,18,59,41,Andhra Pradesh,sri potti sriramulu nellore
28,10,137,60,12,65,29,0,36,30,60,30,Andhra Pradesh,y.s.r.
28,11,252,98,9,145,43,1,101,32,98,66,Andhra Pradesh,kurnool
28,12,214,109,12,93,25,0,68,17,109,92,Andhra Pradesh,anantapur
28,13,233,106,17,110,72,0,38,49,106,57,Andhra Pradesh,chittoor
29,1,147,84,1,62,15,1,46,42,84,42,Karnataka,belgaum
29,2,33,22,0,11,5,0,6,7,22,15,Karnataka,bagalkot
29,3,82,50,0,32,8,0,24,11,50,39,Karnataka,bijapur
29,4,39,25,0,14,1,0,13,2,25,23,Karnataka,bidar
29,5,61,28,0,33,12,0,21,2,28,26,Karnataka,raichur
29,6,39,33,0,6,2,0,4,7,33,26,Karnataka,koppal
29,7,54,30,1,23,8,0,15,7,30,23,Karnataka,gadag
29,8,58,35,1,22,10,0,12,17,35,18,Karnataka,dharwad
29,9,37,12,1,24,5,0,19,4,12,8,Karnataka,uttara kannada
29,10,65,28,0,37,9,0,28,9,28,19,Karnataka,haveri
29,11,124,73,1,50,14,0,36,25,73,48,Karnataka,bellary
29,12,74,50,1,23,10,0,13,11,50,39,Karnataka,chitradurga
29,13,70,45,0,25,6,0,19,17,45,28,Karnataka,davanagere
29,14,60,37,1,22,8,0,14,15,37,22,Karnataka,shimoga
29,15,42,20,4,18,8,0,10,18,20,2,Karnataka,udupi
29,16,25,17,2,6,1,0,5,5,17,12,Karnataka,chikmagalur
29,17,49,20,2,27,10,3,14,8,20,12,Karnataka,tumkur
29,18,260,217,20,23,16,0,7,203,217,14,Karnataka,bangalore
29,19,18,11,1,6,4,0,2,7,11,4,Karnataka,mandya
29,20,63,8,2,53,22,0,31,3,8,5,Karnataka,hassan
29,21,88,33,4,51,44,0,7,23,33,10,Karnataka,dakshina kannada
29,22,11,5,0,6,2,0,4,5,5,0,Karnataka,kodagu
29,23,123,64,12,47,25,0,22,48,64,16,Karnataka,mysore
29,24,21,11,3,7,3,0,4,8,11,3,Karnataka,chamarajanagar
29,25,114,48,0,66,10,0,56,15,48,33,Karnataka,gulbarga
29,26,73,28,2,43,5,0,38,4,28,24,Karnataka,yadgir
29,27,54,26,3,25,8,0,17,12,26,14,Karnataka,kolar
29,28,13,11,0,2,1,0,1,5,11,6,Karnataka,chikkaballapura
29,29,34,12,3,19,9,0,10,7,12,5,Karnataka,bangalore rural
29,30,7,3,2,2,1,0,1,3,3,0,Karnataka,ramanagara
32,1,71,40,17,14,14,0,0,20,40,20,Kerala,kasaragod
32,2,171,97,30,44,29,4,11,48,97,49,Kerala,kannur
32,3,44,29,9,6,4,1,1,13,29,16,Kerala,wayanad
32,4,102,59,28,15,14,0,1,35,59,24,Kerala,kozhikode
32,5,114,71,23,20,11,6,3,42,71,29,Kerala,malappuram
32,6,112,69,32,11,7,0,4,42,69,27,Kerala,palakkad
32,7,229,136,50,43,28,1,14,98,136,38,Kerala,thrissur
32,8,246,128,35,83,44,11,28,114,128,14,Kerala,ernakulam
32,9,63,34,6,23,11,1,11,19,34,15,Kerala,idukki
32,10,121,59,17,45,24,2,19,53,59,6,Kerala,kottayam
32,11,87,42,17,28,22,1,5,34,42,8,Kerala,alappuzha
32,12,86,37,20,29,18,3,8,28,37,9,Kerala,pathanamthitta
32,13,166,76,34,56,27,4,25,64,76,12,Kerala,kollam
32,14,207,107,47,53,39,2,12,103,107,4,Kerala,thiruvananthapuram
33,1,140,109,8,23,13,0,10,63,109,46,Tamil Nadu,thiruvallur
33,2,164,126,11,27,18,1,8,123,126,3,Tamil Nadu,chennai
33,3,164,125,9,30,16,0,14,83,125,42,Tamil Nadu,kancheepuram
33,4,182,83,8,91,45,1,45,32,83,51,Tamil Nadu,vellore
33,5,142,77,6,59,24,1,34,17,77,60,Tamil Nadu,tiruvannamalai
33,6,233,106,14,113,67,0,46,26,106,80,Tamil Nadu,viluppuram
33,7,255,143,10,102,49,1,52,81,143,62,Tamil Nadu,salem
33,8,73,48,3,22,18,0,4,13,48,35,Tamil Nadu,namakkal
33,9,144,83,14,47,18,1,28,46,83,37,Tamil Nadu,erode
33,10,28,22,0,6,1,0,5,9,22,13,Tamil Nadu,the nilgiris
33,11,112,58,7,47,11,0,36,12,58,46,Tamil Nadu,dindigul
33,12,45,26,2,17,7,1,9,12,26,14,Tamil Nadu,karur
33,13,108,39,5,64,34,4,26,26,39,13,Tamil Nadu,tiruchirappalli
33,14,24,15,3,6,1,1,4,7,15,8,Tamil Nadu,perambalur
33,15,40,14,1,25,10,4,11,6,14,8,Tamil Nadu,ariyalur
33,16,153,81,11,61,33,0,28,17,81,64,Tamil Nadu,cuddalore
33,17,138,51,33,54,36,5,13,19,51,32,Tamil Nadu,nagapattinam
33,18,67,33,4,30,22,1,7,12,33,21,Tamil Nadu,thiruvarur
33,19,117,57,18,42,21,7,14,27,57,30,Tamil Nadu,thanjavur
33,20,138,37,6,95,38,9,48,19,37,18,Tamil Nadu,pudukkottai
33,21,47,33,3,11,7,0,4,14,33,19,Tamil Nadu,sivaganga
33,22,119,81,9,29,11,0,18,32,81,49,Tamil Nadu,madurai
33,23,15,10,0,5,2,0,3,2,10,8,Tamil Nadu,theni
33,24,155,128,1,26,17,1,8,70,128,58,Tamil Nadu,virudhunagar
33,25,47,35,1,11,6,1,4,7,35,28,Tamil Nadu,ramanathapuram
33,26,83,54,10,19,12,2,5,29,54,25,Tamil Nadu,thoothukkudi
33,27,165,54,11,100,93,2,5,33,54,21,Tamil Nadu,tirunelveli
33,28,39,20,9,10,8,0,2,14,20,6,Tamil Nadu,kanniyakumari
33,29,36,26,1,9,5,0,4,3,26,23,Tamil Nadu,dharmapuri
33,30,41,24,1,16,3,0,13,15,24,9,Tamil Nadu,krishnagiri
33,31,156,117,16,23,10,0,13,80,117,37,Tamil Nadu,coimbatore
33,32,81,56,5,20,10,1,9,32,56,24,Tamil Nadu,tiruppur
36,1,16,11,0,5,2,0,3,2,11,9,Telangana,adilabad
36,2,17,11,0,6,4,0,2,1,11,10,Telangana,nizamabad
36,3,24,14,0,10,5,0,5,5,14,9,Telangana,karimnagar
36,4,38,5,0,33,25,0,8,0,5,5,Telangana,medak
36,5,101,34,1,66,46,0,20,10,34,24,Telangana,hyderabad
36,6,49,5,4,40,30,0,10,1,5,4,Telangana,rangareddy
36,7,43,16,12,15,4,0,11,6,16,10,Telangana,mahbubnagar
36,8,39,27,1,11,1,0,10,5,27,22,Telangana,nalgonda
36,9,53,33,2,18,3,0,15,7,33,26,Telangana,warangal
36,10,25,10,1,14,1,0,13,1,10,9,Telangana,khammam
