StateCode,State,DistrictCode,district,in_labour_force,lfpr_percent
36,Telangana,1,adilabad,0.3265306055545807,32.65306091308594
9,Uttar Pradesh,15,agra,0.0556900724768638,5.569007396697998
24,Gujarat,7,ahmadabad,0.1434302926063537,14.343029022216797
15,Mizoram,3,aizawl,0.3034705519676208,30.347055435180664
8,Rajasthan,21,ajmer,0.1818181872367859,18.18181800842285
32,Kerala,11,alappuzha,0.221374049782753,22.137405395507812
9,Uttar Pradesh,12,aligarh,0.0701402798295021,7.014028072357178
23,Madhya Pradesh,48,alirajpur,0.5166666507720947,51.66666412353515
9,Uttar Pradesh,44,allahabad,0.0833333358168602,8.333333969116211
5,Uttrakhand,9,almora,0.3742331266403198,37.42331314086914
8,Rajasthan,6,alwar,0.2634854912757873,26.348548889160156
6,Haryana,2,ambala,0.1299435049295425,12.99435043334961
9,Uttar Pradesh,47,ambedkar nagar,0.0641025677323341,6.410256862640381
24,Gujarat,13,amreli,0.3012048304080963,30.1204833984375
3,Punjab,15,amritsar,0.1322115361690521,13.221153259277344
24,Gujarat,15,anand,0.1237113401293754,12.371133804321287
28,Andhra Pradesh,12,anantapur,0.4841628968715668,48.416290283203125
1,Jammu & Kashmir,14,anantnag,0.1162790730595588,11.627907752990724
21,Odisha,15,anugul,0.1782945692539215,17.829456329345703
23,Madhya Pradesh,44,anuppur,0.1777777820825576,17.77777862548828
10,Bihar,7,araria,0.1071428582072258,10.714285850524902
33,Tamil Nadu,15,ariyalur,0.3418803513050079,34.18803405761719
10,Bihar,38,arwal,0.0138888889923691,1.388888955116272
23,Madhya Pradesh,42,ashoknagar,0.1428571492433548,14.285715103149414
9,Uttar Pradesh,31,auraiya,0.0399999991059303,4.0
10,Bihar,33,aurangabad,0.0212765950709581,2.127659559249878
9,Uttar Pradesh,60,azamgarh,0.146276593208313,14.62765884399414
1,Jammu & Kashmir,2,badgam,0.1802325546741485,18.023256301879883
29,Karnataka,2,bagalkot,0.2142857164144516,21.428571701049805
5,Uttrakhand,8,bageshwar,0.47826087474823,47.82608795166016
9,Uttar Pradesh,8,baghpat,0.1023622080683708,10.236220359802246
9,Uttar Pradesh,49,bahraich,0.1154929548501968,11.54929542541504
18,Assam,25,baksa,0.1346153914928436,13.461539268493652
23,Madhya Pradesh,40,balaghat,0.2587719261646271,25.877193450927734
21,Odisha,24,balangir,0.2142857164144516,21.428571701049805
21,Odisha,8,baleshwar,0.2595628499984741,25.95628547668457
9,Uttar Pradesh,62,ballia,0.1428571492433548,14.285715103149414
22,Chhattisgarh,24,balod,0.3122172057628631,31.22171974182129
22,Chhattisgarh,19,balodabazar,0.4012539088726043,40.125389099121094
9,Uttar Pradesh,51,balrampur,0.1316872388124466,13.168724060058594
22,Chhattisgarh,27,balrampur,0.3863636255264282,38.6363639831543
24,Gujarat,2,banas kantha,0.3044871687889099,30.44871711730957
9,Uttar Pradesh,39,banda,0.2520325183868408,25.20325088500977
1,Jammu & Kashmir,9,bandipore,0.0343642607331275,3.4364261627197266
29,Karnataka,18,bangalore,0.1946107745170593,19.461076736450195
29,Karnataka,29,bangalore rural,0.2207792252302169,22.07792282104492
10,Bihar,23,banka,0.0416666679084301,4.1666669845581055
19,West Bengal,13,bankura,0.0197628457099199,1.9762846231460571
8,Rajasthan,27,banswara,0.4246575236320495,42.46575164794922
9,Uttar Pradesh,45,bara banki,0.2338983118534088,23.38983154296875
1,Jammu & Kashmir,8,baramula,0.0320366136729717,3.2036614418029785
8,Rajasthan,30,baran,0.1199999973177909,12.0
19,West Bengal,9,barddhaman,0.1527165919542312,15.271658897399902
9,Uttar Pradesh,19,bareilly,0.0588235296308994,5.882352828979492
21,Odisha,1,bargarh,0.3235294222831726,32.352943420410156
8,Rajasthan,17,barmer,0.1791907548904419,17.91907501220703
3,Punjab,20,barnala,0.2473684251308441,24.73684310913086
18,Assam,4,barpeta,0.0730769261717796,7.307692527770996
23,Madhya Pradesh,24,barwani,0.385185182094574,38.518516540527344
22,Chhattisgarh,15,bastar,0.5726495981216431,57.26496124267578
9,Uttar Pradesh,54,basti,0.0726744160056114,7.267441749572754
3,Punjab,12,bathinda,0.0977443605661392,9.774435997009276
21,Odisha,22,baudh,0.3055555522441864,30.55555534362793
10,Bihar,20,begusarai,0.0444444455206394,4.44444465637207
29,Karnataka,1,belgaum,0.2634408473968506,26.344085693359375
29,Karnataka,11,bellary,0.2551440298557281,25.514402389526367
22,Chhattisgarh,23,bemetara,0.4157303273677826,41.57303237915039
23,Madhya Pradesh,30,betul,0.2280701696872711,22.807016372680664
21,Odisha,9,bhadrak,0.1069958880543708,10.699588775634766
10,Bihar,22,bhagalpur,0.0590717308223247,5.907173156738281
8,Rajasthan,7,bharatpur,0.2931034564971924,29.31034469604492
24,Gujarat,21,bharuch,0.2211538404226303,22.11538314819336
24,Gujarat,14,bhavnagar,0.2012195140123367,20.12195205688477
8,Rajasthan,24,bhilwara,0.3299748003482818,32.99747848510742
23,Madhya Pradesh,3,bhind,0.0801687762141227,8.016877174377441
6,Haryana,13,bhiwani,0.2219512164592743,22.19512176513672
10,Bihar,29,bhojpur,0.1000000014901161,10.0
23,Madhya Pradesh,27,bhopal,0.1706730723381042,17.067306518554688
29,Karnataka,4,bidar,0.2888889014720917,28.88888931274414
29,Karnataka,3,bijapur,0.2817869484424591,28.178695678710938
9,Uttar Pradesh,3,bijnor,0.0341880358755588,3.4188036918640137
8,Rajasthan,3,bikaner,0.0566037744283676,5.660377502441406
2,Himachal Pradesh,8,bilaspur,0.4382716119289398,43.8271598815918
22,Chhattisgarh,7,bilaspur,0.219696968793869,21.969696044921875
19,West Bengal,8,birbhum,0.1355932205915451,13.559322357177734
14,Manipur,4,bishnupur,0.2607802748680115,26.078027725219727
20,Jharkhand,10,bokaro,0.1139240488409996,11.392404556274414
18,Assam,20,bongaigaon,0.1217391267418861,12.17391300201416
9,Uttar Pradesh,18,budaun,0.0207612458616495,2.076124668121338
9,Uttar Pradesh,11,bulandshahr,0.164000004529953,16.399999618530273
8,Rajasthan,23,bundi,0.1830985844135284,18.309858322143555
23,Madhya Pradesh,50,burhanpur,0.283687949180603,28.36879539489746
10,Bihar,30,buxar,0.0466101691126823,4.661016941070557
18,Assam,17,cachar,0.0570652186870574,5.706521987915039
29,Karnataka,24,chamarajanagar,0.1891891956329345,18.91891860961914
2,Himachal Pradesh,1,chamba,0.5644599199295044,56.44599151611328
5,Uttrakhand,2,chamoli,0.1428571492433548,14.285715103149414
5,Uttrakhand,10,champawat,0.4382022619247436,43.82022476196289
15,Mizoram,4,champhai,0.3490909039974212,34.90909194946289
9,Uttar Pradesh,65,chandauli,0.1825396865606308,18.253969192504883
14,Manipur,9,chandel,0.1944444477558136,19.44444465637207
12,Arunachal Pradesh,9,changlang,0.317585289478302,31.758529663085938
20,Jharkhand,2,chatra,0.2408759146928787,24.08759117126465
33,Tamil Nadu,2,chennai,0.2373371869325637,23.733718872070312
23,Madhya Pradesh,8,chhatarpur,0.1398963779211044,13.98963737487793
23,Madhya Pradesh,38,chhindwara,0.284090906381607,28.409090042114254
29,Karnataka,28,chikkaballapura,0.1444444507360458,14.44444465637207
29,Karnataka,16,chikmagalur,0.2293577939271927,22.935779571533203
18,Assam,21,chirang,0.1935483813285827,19.35483741760254
29,Karnataka,12,chitradurga,0.3189655244350433,31.89655303955078
9,Uttar Pradesh,40,chitrakoot,0.3363636434078216,33.6363639831543
8,Rajasthan,28,chittaurgarh,0.262773722410202,26.277372360229492
28,Andhra Pradesh,13,chittoor,0.3710190951824188,37.10190963745117
14,Manipur,3,churachandpur,0.2191142141819,21.911420822143555
8,Rajasthan,4,churu,0.2288135588169098,22.88135528564453
33,Tamil Nadu,31,coimbatore,0.3177189528942108,31.771894454956055
33,Tamil Nadu,16,cuddalore,0.3974025845527649,39.740257263183594
21,Odisha,12,cuttack,0.1059431508183479,10.594315528869627
22,Chhattisgarh,17,dakshin bastar dantewada,0.1568627506494522,15.686275482177734
19,West Bengal,5,dakshin dinajpur,0.1988950222730636,19.889501571655273
29,Karnataka,21,dakshina kannada,0.2972972989082336,29.7297306060791
23,Madhya Pradesh,11,damoh,0.2571428716182709,25.71428680419922
10,Bihar,13,darbhanga,0.0365448519587516,3.6544852256774902
19,West Bengal,1,darjiling,0.2401433736085891,24.01433753967285
18,Assam,26,darrang,0.078571431338787,7.857142925262451
23,Madhya Pradesh,5,datia,0.0847457647323608,8.474576950073242
8,Rajasthan,11,dausa,0.3310810923576355,33.10810852050781
29,Karnataka,13,davanagere,0.2692307829856872,26.923078536987305
21,Odisha,4,debagarh,0.4615384638309479,46.153846740722656
5,Uttrakhand,5,dehradun,0.1421647816896438,14.21647834777832
20,Jharkhand,5,deoghar,0.0967741906642913,9.67741870880127
9,Uttar Pradesh,59,deoria,0.0405405387282371,4.054053783416748
23,Madhya Pradesh,20,dewas,0.2472527474164962,24.72527503967285
16,Tripura,3,dhalai,0.2959183752536773,29.59183692932129
22,Chhattisgarh,13,dhamtari,0.3645833432674408,36.45833587646485
20,Jharkhand,9,dhanbad,0.1036906838417053,10.369068145751951
23,Madhya Pradesh,21,dhar,0.2411347478628158,24.11347389221191
33,Tamil Nadu,29,dharmapuri,0.1353383511304855,13.533835411071776
29,Karnataka,8,dharwad,0.2101449221372604,21.01449203491211
8,Rajasthan,8,dhaulpur,0.3811881244182586,38.11881256103515
18,Assam,9,dhemaji,0.0459770113229751,4.597701072692871
21,Odisha,14,dhenkanal,0.0905172377824783,9.05172348022461
18,Assam,2,dhubri,0.0786516889929771,7.865169048309326
12,Arunachal Pradesh,13,dibang valley,0.2222222238779068,22.22222328186035
18,Assam,11,dibrugarh,0.321192055940628,32.119205474853516
18,Assam,16,dima hasao,0.2142857164144516,21.428571701049805
13,Nagaland,5,dimapur,0.2379746884107589,23.797468185424805
33,Tamil Nadu,11,dindigul,0.2879177331924438,28.791772842407227
23,Madhya Pradesh,36,dindori,0.5688073635101318,56.8807373046875
1,Jammu & Kashmir,16,doda,0.0866141766309738,8.661417961120605
24,Gujarat,18,dohad,0.3187499940395355,31.875
20,Jharkhand,17,dumka,0.0929368063807487,9.29368019104004
8,Rajasthan,26,dungarpur,0.2568807303905487,25.688072204589844
22,Chhattisgarh,10,durg,0.2655367255210876,26.553672790527344
11,Sikkim,4,east district,0.4145873188972473,41.45873260498047
17,Meghalaya,2,east garo hills,0.2634730637073517,26.347307205200195
28,Andhra Pradesh,4,east godavari,0.1777150928974151,17.771509170532227
12,Arunachal Pradesh,3,east kameng,0.0961538478732109,9.615385055541992
17,Meghalaya,6,east khasi hills,0.334486722946167,33.448673248291016
12,Arunachal Pradesh,7,east siang,0.2133891284465789,21.338912963867188
32,Kerala,8,ernakulam,0.318240612745285,31.824060440063477
33,Tamil Nadu,9,erode,0.3310344815254211,33.10344696044922
9,Uttar Pradesh,70,etah,0.0896551758050918,8.9655179977417
9,Uttar Pradesh,30,etawah,0.0430107526481151,4.301075458526611
9,Uttar Pradesh,46,faizabad,0.154589369893074,15.45893669128418
6,Haryana,20,faridabad,0.1021126732230186,10.211267471313477
3,Punjab,11,faridkot,0.1689189225435257,16.891891479492188
9,Uttar Pradesh,28,farrukhabad,0.0691489353775978,6.914893627166748
6,Haryana,10,fatehabad,0.1228070184588432,12.280701637268066
3,Punjab,6,fatehgarh sahib,0.1666666716337204,16.666667938232422
9,Uttar Pradesh,41,fatehpur,0.2207792252302169,22.07792282104492
3,Punjab,22,fazilka,0.1985018700361251,19.850187301635746
9,Uttar Pradesh,16,firozabad,0.0792682915925979,7.926829338073731
3,Punjab,9,firozpur,0.1069958880543708,10.699588775634766
29,Karnataka,7,gadag,0.3157894611358642,31.57894515991211
21,Odisha,20,gajapati,0.2772277295589447,27.7227725982666
1,Jammu & Kashmir,11,ganderbal,0.1871921122074127,18.71921157836914
24,Gujarat,6,gandhinagar,0.0833333358168602,8.333333969116211
8,Rajasthan,1,ganganagar,0.0517799369990825,5.1779937744140625
21,Odisha,19,ganjam,0.2202898561954498,22.02898597717285
20,Jharkhand,1,garhwa,0.3056768476963043,30.567684173583984
5,Uttrakhand,6,garhwal,0.3129251599311828,31.292516708374023
22,Chhattisgarh,20,gariyaband,0.53125,53.125
9,Uttar Pradesh,10,gautam buddha nagar,0.1284403651952743,12.844036102294922
10,Bihar,34,gaya,0.0271132383495569,2.7113237380981445
9,Uttar Pradesh,9,ghaziabad,0.0712945610284805,7.129456043243408
9,Uttar Pradesh,64,ghazipur,0.1714975833892822,17.149757385253906
20,Jharkhand,4,giridih,0.1027568951249122,10.275689125061035
18,Assam,3,goalpara,0.1099476441740989,10.99476432800293
20,Jharkhand,6,godda,0.1194029822945594,11.940298080444336
18,Assam,14,golaghat,0.1756756752729416,17.567567825317383
9,Uttar Pradesh,52,gonda,0.0827423185110092,8.274231910705566
10,Bihar,15,gopalganj,0.0218978095799684,2.1897809505462646
9,Uttar Pradesh,57,gorakhpur,0.0756302550435066,7.56302547454834
29,Karnataka,25,gulbarga,0.356249988079071,35.625
20,Jharkhand,21,gumla,0.2545454502105713,25.454544067382812
23,Madhya Pradesh,41,guna,0.1705426424741745,17.054264068603516
28,Andhra Pradesh,7,guntur,0.357534259557724,35.75342559814453
3,Punjab,1,gurdaspur,0.0677966102957725,6.779661178588867
6,Haryana,18,gurgaon,0.1931216865777969,19.31216812133789
23,Madhya Pradesh,4,gwalior,0.099041536450386,9.90415382385254
18,Assam,19,hailakandi,0.0258620698004961,2.5862069129943848
2,Himachal Pradesh,6,hamirpur,0.4254545569419861,42.54545593261719
9,Uttar Pradesh,37,hamirpur,0.342857152223587,34.28571701049805
8,Rajasthan,2,hanumangarh,0.0328947380185127,3.28947377204895
19,West Bengal,15,haora,0.1513292491436004,15.132925033569336
23,Madhya Pradesh,31,harda,0.1212121248245239,12.121212005615234
9,Uttar Pradesh,24,hardoi,0.052173912525177,5.217391014099121
5,Uttrakhand,13,hardwar,0.1007874011993408,10.078740119934082
29,Karnataka,20,hassan,0.4256756901741028,42.567569732666016
29,Karnataka,10,haveri,0.2813852727413177,28.138526916503903
20,Jharkhand,15,hazaribagh,0.1784896999597549,17.848970413208008
6,Haryana,12,hisar,0.0525210089981555,5.252100944519043
23,Madhya Pradesh,32,hoshangabad,0.0843373462557792,8.433734893798828
3,Punjab,4,hoshiarpur,0.1642512083053589,16.425121307373047
19,West Bengal,12,hugli,0.1826309114694595,18.263092041015625
36,Telangana,5,hyderabad,0.4279660880565643,42.796607971191406
32,Kerala,9,idukki,0.409090906381607,40.90909194946289
14,Manipur,7,imphal east,0.2679856121540069,26.798561096191406
14,Manipur,6,imphal west,0.2910547256469726,29.105472564697266
23,Madhya Pradesh,22,indore,0.2232645452022552,22.326454162597656
23,Madhya Pradesh,34,jabalpur,0.1862068921327591,18.620689392089844
21,Odisha,11,jagatsinghapur,0.104938268661499,10.493826866149902
17,Meghalaya,7,jaintia hills,0.3674121499061584,36.741214752197266
8,Rajasthan,12,jaipur,0.2121524214744568,21.215242385864254
8,Rajasthan,16,jaisalmer,0.1176470592617988,11.764705657958984
21,Odisha,13,jajapur,0.130952388048172,13.09523868560791
3,Punjab,3,jalandhar,0.1873990297317505,18.73990249633789
9,Uttar Pradesh,34,jalaun,0.2330097109079361,23.30097198486328
8,Rajasthan,18,jalor,0.1826484054327011,18.26484107971191
19,West Bengal,2,jalpaiguri,0.2725000083446502,27.25
1,Jammu & Kashmir,21,jammu,0.2719033360481262,27.19033432006836
24,Gujarat,10,jamnagar,0.2047244161367416,20.472440719604492
20,Jharkhand,18,jamtara,0.121387280523777,12.138728141784668
10,Bihar,36,jamui,0.0485436879098415,4.854368686676025
22,Chhattisgarh,6,janjgir - champa,0.2448979616165161,24.489795684814453
22,Chhattisgarh,3,jashpur,0.3793103396892547,37.931034088134766
9,Uttar Pradesh,63,jaunpur,0.1613832861185073,16.138328552246094
10,Bihar,37,jehanabad,0.0136986300349235,1.3698630332946775
23,Madhya Pradesh,47,jhabua,0.6610169410705566,66.10169219970703
6,Haryana,15,jhajjar,0.0677083358168602,6.770833492279053
8,Rajasthan,31,jhalawar,0.0646551698446273,6.465517044067383
9,Uttar Pradesh,35,jhansi,0.252788096666336,25.278810501098633
21,Odisha,2,jharsuguda,0.3308823406696319,33.088233947753906
8,Rajasthan,5,jhunjhunun,0.1949685513973236,19.496854782104492
6,Haryana,9,jind,0.2000000029802322,20.0
8,Rajasthan,15,jodhpur,0.0862068980932235,8.620689392089844
18,Assam,13,jorhat,0.1692789942026138,16.927900314331055
24,Gujarat,12,junagadh,0.3199999928474426,32.0
9,Uttar Pradesh,6,jyotiba phule nagar,0.0330578498542308,3.3057849407196045
22,Chhattisgarh,8,kabeerdham,0.347517728805542,34.751773834228516
24,Gujarat,1,kachchh,0.1741293519735336,17.412935256958008
10,Bihar,31,kaimur (bhabua),0.0447761192917823,4.477612018585205
6,Haryana,5,kaithal,0.2000000029802322,20.0
21,Odisha,26,kalahandi,0.2122448980808258,21.224489212036133
18,Assam,22,kamrup,0.1388888955116272,13.88888931274414
18,Assam,23,kamrup metropolitan,0.1347305327653885,13.473052978515623
33,Tamil Nadu,3,kancheepuram,0.2679738700389862,26.797386169433594
21,Odisha,21,kandhamal,0.2327586263418197,23.275861740112305
2,Himachal Pradesh,2,kangra,0.5307582020759583,53.07582092285156
9,Uttar Pradesh,29,kannauj,0.0585774071514606,5.857740879058838
33,Tamil Nadu,28,kanniyakumari,0.1517509669065475,15.17509651184082
32,Kerala,2,kannur,0.1805702149868011,18.05702209472656
9,Uttar Pradesh,32,kanpur dehat,0.0329670347273349,3.296703577041626
9,Uttar Pradesh,33,kanpur nagar,0.120388351380825,12.038835525512695
9,Uttar Pradesh,71,kanshiram nagar,0.1187499985098838,11.875
3,Punjab,2,kapurthala,0.2315789461135864,23.157894134521484
8,Rajasthan,9,karauli,0.0687830671668052,6.878306865692139
18,Assam,15,karbi anglong,0.0508474558591842,5.084745407104492
1,Jammu & Kashmir,4,kargil,0.1084337383508682,10.843374252319336
18,Assam,18,karimganj,0.0562499985098838,5.625
36,Telangana,3,karimnagar,0.19200000166893,19.200000762939453
6,Haryana,6,karnal,0.1649214625358581,16.492145538330078
33,Tamil Nadu,12,karur,0.375,37.5
32,Kerala,1,kasaragod,0.2390572428703308,23.905723571777344
1,Jammu & Kashmir,7,kathua,0.2559366822242737,25.59366798400879
10,Bihar,10,katihar,0.1366666704416275,13.666666984558104
23,Madhya Pradesh,33,katni,0.1269841343164444,12.698413848876951
9,Uttar Pradesh,43,kaushambi,0.0733944922685623,7.339449405670166
21,Odisha,10,kendrapara,0.0829694345593452,8.296943664550781
21,Odisha,6,kendujhar,0.2402402460575103,24.024024963378903
10,Bihar,21,khagaria,0.0942028984427452,9.420289993286133
36,Telangana,10,khammam,0.54347825050354,54.34782409667969
23,Madhya Pradesh,49,khandwa (east nimar),0.3243243098258972,32.432430267333984
23,Madhya Pradesh,23,khargone (west nimar),0.4059040546417236,40.59040451049805
24,Gujarat,16,kheda,0.1019607856869697,10.196078300476074
9,Uttar Pradesh,22,kheri,0.1713147461414337,17.1314754486084
21,Odisha,17,khordha,0.1201814040541648,12.01814079284668
20,Jharkhand,20,khunti,0.3738317787647247,37.3831787109375
2,Himachal Pradesh,12,kinnaur,0.4444444477558136,44.4444465637207
13,Nagaland,9,kiphire,0.1860465109348297,18.604650497436523
10,Bihar,8,kishanganj,0.0920245423913002,9.202454566955566
1,Jammu & Kashmir,18,kishtwar,0.0816326513886451,8.163265228271484
19,West Bengal,3,koch bihar,0.2237762212753296,22.377622604370117
29,Karnataka,22,kodagu,0.3142857253551483,31.428571701049805
